auction_player,auction_league,population_id,auction_year,fk_name,fk_url,fk_count,fk_category,Auth,1,1.5,2,3,4,5,6,7,8,9,10,Total
Alonzo Mourning,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Alonzo Mourning,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Shawn Kemp,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Shawn Kemp,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Shawn Kemp,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Mark Price,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Mark Price,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Steve Smith,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Dominique Wilkins,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
Derrick Coleman,skybox-usa-basketball,45607,1994,1948 Topps Magic Photos All-American Basketball Murray Wier #2B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,2,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '1', '+': '0', 'Q': '0'}"
