certificate_number,reverse_cert_number,year,brand,sport,card_number,player,variety_or_pedigree,grade,date,price,auction_house,lot_number,registry_set_msg,registry_set_url,population,population_w_equal,population_higher
27888603,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,MINT 9,8/29/2020,$40.00,eBay (nhcardguys),"<a href=""/auctionprices/auction/4317201"" target=""_blank"">183777330146</a>",['None found.'],,71,2,10
81805965,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,MINT 9,4/23/2017,$12.10,eBay (pwcc_auctions),"<a href=""/auctionprices/auction/257363"" target=""_blank"">352029898287</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/mdas-71-hoops/publishedset/52605"">MDA's 71 Hoops</a>, '.\n        ']",,71,2,10
03715098,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,5/31/2020,$16.00,eBay (mrcrx33),"<a href=""/auctionprices/auction/3802272"" target=""_blank"">123826789445</a>",['None found.'],,121,3,84
27893360,Yes,1948,TOPPS MAGIC PHOTOS ALL-AMERICAN BASKETBALL,BASKETBALL CARDS,3B,ED MACAULEY,ALL AMERICAN BASKETBALL,VG 3,12/12/2017,$39.99,eBay (dandaman333),"<a href=""/auctionprices/auction/445931"" target=""_blank"">302555366631</a>",['None found.'],,3,0,8
19810382,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,MINT 9,12/30/2019,$32.00,eBay (bsatttu),"<a href=""/auctionprices/auction/3233311"" target=""_blank"">114024720057</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/knicks4life/publishedset/304522"">knicks4life</a>, '.\n        ']",,71,2,10
21845022,,1948,TOPPS MAGIC PHOTOS BASKETBALL THRILLS,BASKETBALL CARDS,4Q,KENTUCKY 58-42,BASKETBALL THRILLS,VG 3,8/3/2020,$100.00,eBay (johndb63),"<a href=""/auctionprices/auction/4160266"" target=""_blank"">124172774472</a>",['None found.'],,1,0,11
26279843,Yes,1948,TOPPS MAGIC PHOTOS BASKETBALL THRILLS,BASKETBALL CARDS,1Q,ST.LOUIS UNIVERSITY,BASKETBALL THRILLS,VG-EX 4,11/13/2016,$14.55,eBay (just_collect),"<a href=""/auctionprices/auction/857357"" target=""_blank"">332024931936</a>",['None found.'],,3,0,11
27092363,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,GEM MT 10,2/20/2019,$209.99,eBay (graded_psa_cards),"<a href=""/auctionprices/auction/2360326"" target=""_blank"">253043698701</a>",['None found.'],,10,0,0
45311238,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,VG-EX+ 4.5,2/24/2020,$3.25,eBay (probstein123),"<a href=""/auctionprices/auction/3331324"" target=""_blank"">383426013511</a>",['None found.'],,1,0,236
27286133,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,6/8/2017,$9.00,Sirius Sports Auctions,"<a href=""/auctionprices/auction/1499954"" target=""_blank"">968</a>",['None found.'],,121,3,84
81556146,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,GEM MT 10,8/18/2012,$100.00,"Memory Lane, Inc.","<a href=""/auctionprices/auction/14576"" target=""_blank"">1040</a>",['None found.'],,10,0,0
90426922,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,3/4/2018,$17.98,eBay (nwsportscards.com),"<a href=""/auctionprices/auction/1390008"" target=""_blank"">362093661991</a>",['None found.'],,121,3,84
44871166,Yes,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,6/29/2020,$19.95,eBay (dhcards),"<a href=""/auctionprices/auction/3948329"" target=""_blank"">373030003637</a>",['None found.'],,121,3,84
30349140,,1971,TOPPS,BASKETBALL CARDS,137,NBA BASKETBALL,CHAMPIONS,NM-MT 8,8/17/2017,$25.00,eBay (allmaddensportcards2014),"<a href=""/auctionprices/auction/213173"" target=""_blank"">272767333406</a>",['None found.'],,121,3,84
18847137,,1948,TOPPS MAGIC PHOTOS BASKETBALL THRILLS,BASKETBALL CARDS,5Q,DePAUL 75 TO 64,BASKETBALL THRILLS,EX 5,4/22/2018,$111.00,eBay (pwcc_auctions),"<a href=""/auctionprices/auction/1605797"" target=""_blank"">352328564654</a>",['None found.'],,6,0,1
27306384,Yes,1948,TOPPS MAGIC PHOTOS ALL-AMERICAN BASKETBALL,BASKETBALL CARDS,6B,MANHATTAN,ALL AMERICAN BASKETBALL,EX-MT 6,7/25/2017,$71.00,eBay (probstein123),"<a href=""/auctionprices/auction/718892"" target=""_blank"">362042965071</a>","['\n            This cert is currently in ', <strong></strong>, ' Set Registry inventory and is featured in one or more sets,\n            including ', <a href=""/psasetregistry/basketball/company-sets/vintagebasketball-all-american-vesper-collection/publishedset/207771"">vintagebasketball  All-American - The Vesper Collection</a>, '.\n        ']",,3,0,0
